rxn_id	source	rxn_type	rxn_name	rxn_tech	temperature_deg_c	time_h	atmosphere	scale_umol	concentration_mmol_l	mixing	startingmat_1_cas	startingmat_1_smiles	startingmat_1_eq	startingmat_2_cas	startingmat_2_smiles	startingmat_2_eq	reagent_1_cas	reagent_1_smiles	reagent_1_eq	catalyst_1_cas	catalyst_1_smiles	catalyst_1_eq	additive_1_cas	additive_1_smiles	additive_1_eq	solvent_1_cas	solvent_1_smiles	solvent_1_fraction	solvent_2_cas	solvent_2_smiles	solvent_2_fraction	product_mono	product_di	product_non	binary
eln036496-183_15_1_a1	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	89364-31-8	O=C(O)C1COCC1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.968	7732-18-5	O	0.032	0.29	0.54	0.17	1
eln036496-183_15_1_a2	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	3721-95-7	O=C(O)C1CCC1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.968	7732-18-5	O	0.032	0	0.47	0.5	1
eln036496-183_15_1_a3	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	114012-41-8	O=C(O)C1COC1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.968	7732-18-5	O	0.032	0	0.03	0.96	0
eln036496-183_15_1_a4	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	24537-50-6	O=C1NCCC(C(=O)O)C1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.968	7732-18-5	O	0.032	0.43	0	0.57	1
eln036496-183_15_1_a5	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	98-89-5	O=C(O)C1CCCCC1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.968	7732-18-5	O	0.032	0.26	0.61	0.13	1
eln036496-183_15_1_a6	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	4771-80-6	O=C(O)C1CC=CCC1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.968	7732-18-5	O	0.032	0.69	0.09	0.23	1
eln036496-183_15_1_b1	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	3400-45-1	O=C(O)C1CCCC1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.968	7732-18-5	O	0.032	0.55	0.35	0.1	1
eln036496-183_15_1_b2	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	75-98-9	O=C(O)C(C)(C)C	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.968	7732-18-5	O	0.032	0.74	0.1	0.17	1
eln036496-183_15_1_b3	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	97-69-8	O=C(O)C(NC(=O)C)C	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.968	7732-18-5	O	0.032	0.88	0.11	0.01	1
eln036496-183_15_1_b5	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	122665-97-8	O=C(O)C1CCC(F)(F)CC1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.968	7732-18-5	O	0.032	0.35	0.56	0.06	1
