rxn_id	source	rxn_type	rxn_name	rxn_tech	temperature_deg_c	time_h	atmosphere	scale_umol	concentration_mmol_l	mixing	startingmat_1_cas	startingmat_1_smiles	startingmat_1_eq	startingmat_2_cas	startingmat_2_smiles	startingmat_2_eq	reagent_1_cas	reagent_1_smiles	reagent_1_eq	catalyst_1_cas	catalyst_1_smiles	catalyst_1_eq	additive_1_cas	additive_1_smiles	additive_1_eq	solvent_1_cas	solvent_1_smiles	solvent_1_fraction	solvent_2_cas	solvent_2_smiles	solvent_2_fraction	product_mono	product_di	product_non	binary
eln036496-183_15_1_a1	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	89364-31-8	O=C(O)C1COCC1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.96774	7732-18-5	O	0.03226	0.29	0.54	0.17	1
eln036496-183_15_1_a2	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	3721-95-7	O=C(O)C1CCC1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.96774	7732-18-5	O	0.03226	0	0.47	0.5	1
eln036496-183_15_1_a3	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	114012-41-8	O=C(O)C1COC1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.96774	7732-18-5	O	0.03226	0	0.03	0.96	0
eln036496-183_15_1_a4	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	24537-50-6	O=C1NCCC(C(=O)O)C1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.96774	7732-18-5	O	0.03226	0.43	0	0.57	1
eln036496-183_15_1_a5	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	98-89-5	O=C(O)C1CCCCC1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.96774	7732-18-5	O	0.03226	0.26	0.61	0.13	1
eln036496-183_15_1_a6	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	4771-80-6	O=C(O)C1CC=CCC1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.96774	7732-18-5	O	0.03226	0.69	0.09	0.23	1
eln036496-183_15_1_b1	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	3400-45-1	O=C(O)C1CCCC1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.96774	7732-18-5	O	0.03226	0.55	0.35	0.1	1
eln036496-183_15_1_b2	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	75-98-9	O=C(O)C(C)(C)C	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.96774	7732-18-5	O	0.03226	0.74	0.1	0.17	1
eln036496-183_15_1_b3	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	97-69-8	O=C(O)C(NC(=O)C)C	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.96774	7732-18-5	O	0.03226	0.88	0.11	0.01	1
eln036496-183_15_1_b5	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	122665-97-8	O=C(O)C1CCC(F)(F)CC1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.96774	7732-18-5	O	0.03226	0.35	0.56	0.06	1
eln036496-183_15_1_b6	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	79-09-4	O=C(O)CC	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.96774	7732-18-5	O	0.03226	0.04	0	0.96	0
eln036496-183_15_1_c1	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	93-40-3	O=C(O)CC1=CC=C(OC)C(OC)=C1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.96774	7732-18-5	O	0.03226	0.37	0.05	0.58	1
eln036496-183_15_1_c2	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	16874-33-2	O=C(O)C1OCCC1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.96774	7732-18-5	O	0.03226	0	0.43	0.57	1
eln036496-183_15_1_c3	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	53293-00-8	O=C(O)CCCC#C	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.96774	7732-18-5	O	0.03226	0.57	0.05	0.39	1
eln036496-183_15_1_c4	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	84358-13-4	O=C(OC(C)(C)C)N1CCC(C(=O)O)CC1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.96774	7732-18-5	O	0.03226	0	0.12	0.87	1
eln036496-183_15_1_c5	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	84358-12-3	O=C(OC(C)(C)C)N1CCCC(C(=O)O)C1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.96774	7732-18-5	O	0.03226	0	0.15	0.83	1
eln036496-183_15_1_c6	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	59378-75-5	O=C(OC(C)(C)C)N1CCC(C(=O)O)C1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.96774	7732-18-5	O	0.03226	0	0.26	0.74	1
eln036496-183_15_1_d1	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	142253-55-2	O=C(OC(C)(C)C)N1CC(C(=O)O)C1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.96774	7732-18-5	O	0.03226	0	0.12	0.87	1
eln036496-183_15_1_d2	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	51673-83-7	O=C(O)C1OCCCC1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.96774	7732-18-5	O	0.03226	0.31	0.63	0.06	1
eln036496-183_15_1_d3	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	30379-55-6	O=C(O)COCC=1C=CC=CC1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.96774	7732-18-5	O	0.03226	0	0.23	0.78	1
eln036496-183_15_1_d4	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	5337-03-1	O=C(O)C1CCOCC1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.96774	7732-18-5	O	0.03226	0.2	0.71	0.1	1
eln036496-183_15_1_d5	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	59433-50-0	O=C(OC(C)(C)C)N1CCCC1C(=O)O	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.96774	7732-18-5	O	0.03226	0	0	1	0
eln036496-183_15_1_d6	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	1078-28-0	N=1C=2C=CC(OC)=CC2C=CC1C	1	873397-34-3	O=C(O)C1COCCC1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.96774	7732-18-5	O	0.03226	0.39	0.5	0.12	1
eln036496-187_2_1_a1	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	79794-75-5	O=C(OCC)N1CCC(=C2C=3N=CC=CC3CCC=4C=C(Cl)C=CC42)CC1	1	89364-31-8	O=C(O)C1COCC1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.96774	7732-18-5	O	0.03226	0.36	0.11	0.54	1
eln036496-187_2_1_a2	in_house	alkylation	minisci	hte_screening	40	18	n2	0.5	16	st_400	79794-75-5	O=C(OCC)N1CCC(=C2C=3N=CC=CC3CCC=4C=C(Cl)C=CC42)CC1	1	3721-95-7	O=C(O)C1CCC1	20	7727-54-0	O=S(=O)(O)OOS(=O)(=O)O.N	6	""	""	0	""	""	0	67-68-5	O=S(C)C	0.96774	7732-18-5	O	0.03226	0.5	0.2	0.31	1
